question,instruction_input,answer,expected_output
1508831*t = 1508890*t + 236 for t.,Solve 1508831*t = 1508890*t + 236 for t.,-4,-4
-26329 = -14*m - 26301 for m.,Solve -26329 = -14*m - 26301 for m.,2,2
21*p = 18*p - 18*p - 18*p - 1482 for p.,Solve 21*p = 18*p - 18*p - 18*p - 1482 for p.,-38,-38
-114*a + 22*a + 17*a = 192*a - 3471 for a.,Solve -114*a + 22*a + 17*a = 192*a - 3471 for a.,13,13
0 = -324*b - 3900 - 4413 + 40 + 173 for b.,Solve 0 = -324*b - 3900 - 4413 + 40 + 173 for b.,-25,-25
-84*b - 353*b - 2585 - 126 = 4718 for b.,Solve -84*b - 353*b - 2585 - 126 = 4718 for b.,-17,-17
-67*u + 8*u + 3180 - 1941 = 0 for u.,Solve -67*u + 8*u + 3180 - 1941 = 0 for u.,21,21
806 + 120 + 153 = 45*s - 271 for s.,Solve 806 + 120 + 153 = 45*s - 271 for s.,30,30
0 = -158*a + 15*a - 48*a - 99*a for a.,Solve 0 = -158*a + 15*a - 48*a - 99*a for a.,0,0
5*k + 212*k - 473 - 4035 = 56*k for k.,Solve 5*k + 212*k - 473 - 4035 = 56*k for k.,28,28
59*w + 73 + 591 = -5*w - 19*w for w.,Solve 59*w + 73 + 591 = -5*w - 19*w for w.,-8,-8
0 = -143*v - 394*v + 25239 for v.,Solve 0 = -143*v - 394*v + 25239 for v.,47,47
33*p - 44*p + 5145 = 103*p + 927 for p.,Solve 33*p - 44*p + 5145 = 103*p + 927 for p.,37,37
-534*h - 391*h - 44400 = 0 for h.,Solve -534*h - 391*h - 44400 = 0 for h.,-48,-48
247*k + 3135 = 38*k for k.,Solve 247*k + 3135 = 38*k for k.,-15,-15
-13483*x - 416 = -13467*x for x.,Solve -13483*x - 416 = -13467*x for x.,-26,-26
15*n + 401 = 1407 - 601 for n.,Solve 15*n + 401 = 1407 - 601 for n.,27,27
397*g + 2376 = -2492 - 2278 for g.,Solve 397*g + 2376 = -2492 - 2278 for g.,-18,-18
-1200*j = -450 - 19950 for j.,Solve -1200*j = -450 - 19950 for j.,17,17
0 = -1531*l + 9748 + 21190 + 4275 for l.,Solve 0 = -1531*l + 9748 + 21190 + 4275 for l.,23,23
-38*t + 147*t + 137*t + 7626 = 0 for t.,Solve -38*t + 147*t + 137*t + 7626 = 0 for t.,-31,-31
-2525 = 55*c - 154*c - 411 + 1054 for c.,Solve -2525 = 55*c - 154*c - 411 + 1054 for c.,32,32
-243*n + 1512 = 68*n - 59*n for n.,Solve -243*n + 1512 = 68*n - 59*n for n.,6,6
102*b + 76252 - 71458 = 0 for b.,Solve 102*b + 76252 - 71458 = 0 for b.,-47,-47
-125*c - 1776*c - 789*c + 19*c + 5342 = 0 for c.,Solve -125*c - 1776*c - 789*c + 19*c + 5342 = 0 for c.,2,2
-2009*u - 28137 + 3876 = 5874 for u.,Solve -2009*u - 28137 + 3876 = 5874 for u.,-15,-15
-61*n = 183*n + 1440*n + 8420 for n.,Solve -61*n = 183*n + 1440*n + 8420 for n.,-5,-5
0 = 89*q + 2667 - 3379 for q.,Solve 0 = 89*q + 2667 - 3379 for q.,8,8
-69*y = 91492 - 88456 for y.,Solve -69*y = 91492 - 88456 for y.,-44,-44
378510*o - 378779*o + 6725 = 0 for o.,Solve 378510*o - 378779*o + 6725 = 0 for o.,25,25
-384*x = 36*x for x.,Solve -384*x = 36*x for x.,0,0
-83*k - 899152 = -901891 for k.,Solve -83*k - 899152 = -901891 for k.,33,33
-181*q - 918*q - 11964 = -102*q for q.,Solve -181*q - 918*q - 11964 = -102*q for q.,-12,-12
1068*c - 4467 + 19318 = -1369*c - 16830 for c.,Solve 1068*c - 4467 + 19318 = -1369*c - 16830 for c.,-13,-13
-467*r = 444*r - 54023 + 22138 for r.,Solve -467*r = 444*r - 54023 + 22138 for r.,35,35
0 = 597*n - 14670 - 9210 for n.,Solve 0 = 597*n - 14670 - 9210 for n.,40,40
-2760*q + 2841*q + 2187 = 0 for q.,Solve -2760*q + 2841*q + 2187 = 0 for q.,-27,-27
-24*y + 52*y - 516 = -93*y - 32 for y.,Solve -24*y + 52*y - 516 = -93*y - 32 for y.,4,4
p - 200*p = -15*p - 0 - 0 for p.,Solve p - 200*p = -15*p - 0 - 0 for p.,0,0
-28*j + 1411619 - 1409267 = 21*j for j.,Solve -28*j + 1411619 - 1409267 = 21*j for j.,48,48
47*w + 2357 + 427 = -11*w for w.,Solve 47*w + 2357 + 427 = -11*w for w.,-48,-48
322*c - 94400 + 80232 = 0 for c.,Solve 322*c - 94400 + 80232 = 0 for c.,44,44
-2171 = -39*u - 2366 for u.,Solve -2171 = -39*u - 2366 for u.,-5,-5
-252951*y - 400 = -252943*y for y.,Solve -252951*y - 400 = -252943*y for y.,-50,-50
2925*h + 6020 = 1390*h + 1363*h for h.,Solve 2925*h + 6020 = 1390*h + 1363*h for h.,-35,-35
24*d = -55*d + 894 - 82 + 926 for d.,Solve 24*d = -55*d + 894 - 82 + 926 for d.,22,22
0 = -32*l - 1481 + 1865 for l.,Solve 0 = -32*l - 1481 + 1865 for l.,12,12
-19*g + 12*g + 52*g - 487 - 953 = 0 for g.,Solve -19*g + 12*g + 52*g - 487 - 953 = 0 for g.,32,32
12968 + 11644 = 1108*z - 19708 for z.,Solve 12968 + 11644 = 1108*z - 19708 for z.,40,40
698*h + 4136 = -1191 - 3747 for h.,Solve 698*h + 4136 = -1191 - 3747 for h.,-13,-13
-115*j + 51 + 1588 - 199 = -75*j for j.,Solve -115*j + 51 + 1588 - 199 = -75*j for j.,36,36
-74*g + 115*g - 1580 = 23*g + 97*g for g.,Solve -74*g + 115*g - 1580 = 23*g + 97*g for g.,-20,-20
-234*p + 1666 = -596*p + 193*p + 218*p for p.,Solve -234*p + 1666 = -596*p + 193*p + 218*p for p.,34,34
-2268548 = -34*i - 2269874 for i.,Solve -2268548 = -34*i - 2269874 for i.,-39,-39
778460*a - 778487*a + 432 = 0 for a.,Solve 778460*a - 778487*a + 432 = 0 for a.,16,16
-128*k = -1662 - 4226 for k.,Solve -128*k = -1662 - 4226 for k.,46,46
-243*l - 2*l + 1253 + 10508 = 1226 for l.,Solve -243*l - 2*l + 1253 + 10508 = 1226 for l.,43,43
-3715084 = 45*t - 3716029 for t.,Solve -3715084 = 45*t - 3716029 for t.,21,21
-31*n + 61*n = 3*n - 432 for n.,Solve -31*n + 61*n = 3*n - 432 for n.,-16,-16
-72*n - 159 - 3441 = 0 for n.,Solve -72*n - 159 - 3441 = 0 for n.,-50,-50
-36*r + 5917 - 1509 + 1020 = 200*r for r.,Solve -36*r + 5917 - 1509 + 1020 = 200*r for r.,23,23
0 = -13*y - 53*y - 69*y + 6750 for y.,Solve 0 = -13*y - 53*y - 69*y + 6750 for y.,50,50
105*q + 1281 - 103 - 187 = -1214 for q.,Solve 105*q + 1281 - 103 - 187 = -1214 for q.,-21,-21
-51*q - 66*q + 3050 - 2383 = -3545 for q.,Solve -51*q - 66*q + 3050 - 2383 = -3545 for q.,36,36
1456*m = 10778 + 870 for m.,Solve 1456*m = 10778 + 870 for m.,8,8
-202*d - 467*d - 299*d = 3*d + 31072 for d.,Solve -202*d - 467*d - 299*d = 3*d + 31072 for d.,-32,-32
6912*h - 7070*h = -790 for h.,Solve 6912*h - 7070*h = -790 for h.,5,5
-104*w + 741*w + 1758 + 2064 = 0 for w.,Solve -104*w + 741*w + 1758 + 2064 = 0 for w.,-6,-6
4020 - 5434 = -101*c for c.,Solve 4020 - 5434 = -101*c for c.,14,14
2138 = -272*o + 234 for o.,Solve 2138 = -272*o + 234 for o.,-7,-7
505*i - 256 + 313 = -173*i - 621 for i.,Solve 505*i - 256 + 313 = -173*i - 621 for i.,-1,-1
238*w + 3456 = 622*w for w.,Solve 238*w + 3456 = 622*w for w.,9,9
60680*n = 60759*n + 2370 for n.,Solve 60680*n = 60759*n + 2370 for n.,-30,-30
79*w = -5*w + 26*w - 116 for w.,Solve 79*w = -5*w + 26*w - 116 for w.,-2,-2
-34351 = 233*o - 43671 for o.,Solve -34351 = 233*o - 43671 for o.,40,40
-1024*o = -46713 + 7801 for o.,Solve -1024*o = -46713 + 7801 for o.,38,38
11952 = 22783*z - 22451*z for z.,Solve 11952 = 22783*z - 22451*z for z.,36,36
290241 - 292673 = -64*u for u.,Solve 290241 - 292673 = -64*u for u.,38,38
-34*r + 207 + 243 = 41*r for r.,Solve -34*r + 207 + 243 = 41*r for r.,6,6
4468 = 258*s - 4124 - 3018 for s.,Solve 4468 = 258*s - 4124 - 3018 for s.,45,45
34*j + 43*j - 1402 = 1524 for j.,Solve 34*j + 43*j - 1402 = 1524 for j.,38,38
11*o + 79*o - 13 - 78 = -1 for o.,Solve 11*o + 79*o - 13 - 78 = -1 for o.,1,1
-11055 = -532*f - 34995 for f.,Solve -11055 = -532*f - 34995 for f.,-45,-45
-275 = 2761*b - 2706*b for b.,Solve -275 = 2761*b - 2706*b for b.,-5,-5
94*c + 74*c = -11*c + 7876 for c.,Solve 94*c + 74*c = -11*c + 7876 for c.,44,44
-11033*i + 7840 = -11193*i for i.,Solve -11033*i + 7840 = -11193*i for i.,-49,-49
213*f + 991 + 1068 - 142 = 0 for f.,Solve 213*f + 991 + 1068 - 142 = 0 for f.,-9,-9
4176*k - 1394*k - 1397*k = 1393*k + 296 for k.,Solve 4176*k - 1394*k - 1397*k = 1393*k + 296 for k.,-37,-37
-583*q - 16306 = 589*q + 6241 + 6753 for q.,Solve -583*q - 16306 = 589*q + 6241 + 6753 for q.,-25,-25
-1072*a = -9766 - 23740 + 10405 - 18707 for a.,Solve -1072*a = -9766 - 23740 + 10405 - 18707 for a.,39,39
-255157*n = -255312*n + 5890 for n.,Solve -255157*n = -255312*n + 5890 for n.,38,38
-646*p + 169*p + 7920 + 3210 = 636*p for p.,Solve -646*p + 169*p + 7920 + 3210 = 636*p for p.,10,10
-17*g - 43*g + 166 + 179 = -75 for g.,Solve -17*g - 43*g + 166 + 179 = -75 for g.,7,7
-534*g = -246*g - 399*g + 4662 for g.,Solve -534*g = -246*g - 399*g + 4662 for g.,42,42
0 = 654*i - 19920 - 354 for i.,Solve 0 = 654*i - 19920 - 354 for i.,31,31
-5085*v + 763 = -5058*v - 371 for v.,Solve -5085*v + 763 = -5058*v - 371 for v.,42,42
-7837*z - 12710 = -8147*z for z.,Solve -7837*z - 12710 = -8147*z for z.,41,41
0 = 667*g + 439 + 2097 + 799 for g.,Solve 0 = 667*g + 439 + 2097 + 799 for g.,-5,-5
-30*c + 117*c - 10128 = -124*c for c.,Solve -30*c + 117*c - 10128 = -124*c for c.,48,48
36094*d = 35585*d + 11198 for d.,Solve 36094*d = 35585*d + 11198 for d.,22,22
-4895*h = -4936*h - 1640 for h.,Solve -4895*h = -4936*h - 1640 for h.,-40,-40
-33894 = -1783*p + 4745 + 20200 for p.,Solve -33894 = -1783*p + 4745 + 20200 for p.,33,33
1013*o - 2020 = 609*o for o.,Solve 1013*o - 2020 = 609*o for o.,5,5
-14868 - 16344 = -175*q - 396*q - 4946 for q.,Solve -14868 - 16344 = -175*q - 396*q - 4946 for q.,46,46
310*o + 3969 = -5641 for o.,Solve 310*o + 3969 = -5641 for o.,-31,-31
3898*o + 117999 - 4753 = -58648 + 39362 for o.,Solve 3898*o + 117999 - 4753 = -58648 + 39362 for o.,-34,-34
1862 + 1513 = 135*i for i.,Solve 1862 + 1513 = 135*i for i.,25,25
8*b + 185*b = -99*b - 9052 for b.,Solve 8*b + 185*b = -99*b - 9052 for b.,-31,-31
-57*f - 5587 = 251*f + 3345 for f.,Solve -57*f - 5587 = 251*f + 3345 for f.,-29,-29
-256*s - 1376 = -332 - 9115 - 2425 for s.,Solve -256*s - 1376 = -332 - 9115 - 2425 for s.,41,41
-38*n + 55*n - 34*n + 391 = 0 for n.,Solve -38*n + 55*n - 34*n + 391 = 0 for n.,23,23
176*c - 55*c + 10110 = 63*c - 279*c for c.,Solve 176*c - 55*c + 10110 = 63*c - 279*c for c.,-30,-30
-747*z + 8100 = -567*z for z.,Solve -747*z + 8100 = -567*z for z.,45,45
182*t + 480*t - 7881 + 1923 = 0 for t.,Solve 182*t + 480*t - 7881 + 1923 = 0 for t.,9,9
-160*n + 1367 = 2007 for n.,Solve -160*n + 1367 = 2007 for n.,-4,-4
-67 - 56 = -22*o + 57 + 40 for o.,Solve -67 - 56 = -22*o + 57 + 40 for o.,10,10
186*i - 8598 = -15666 for i.,Solve 186*i - 8598 = -15666 for i.,-38,-38
8549 = 905*t + 1017*t - 8749 for t.,Solve 8549 = 905*t + 1017*t - 8749 for t.,9,9
483*b = 3097*b - 67964 for b.,Solve 483*b = 3097*b - 67964 for b.,26,26
520*h - 18414 = 143*h - 460*h for h.,Solve 520*h - 18414 = 143*h - 460*h for h.,22,22
-28954 = 270*b + 1533*b - 110089 for b.,Solve -28954 = 270*b + 1533*b - 110089 for b.,45,45
0 = 141*p + 18*p + 47*p - 3296 for p.,Solve 0 = 141*p + 18*p + 47*p - 3296 for p.,16,16
1122*t = 183*t - 33804 for t.,Solve 1122*t = 183*t - 33804 for t.,-36,-36
715 - 2186 - 1614 - 1235 = 120*p for p.,Solve 715 - 2186 - 1614 - 1235 = 120*p for p.,-36,-36
237 = 14*g + 791 - 134 for g.,Solve 237 = 14*g + 791 - 134 for g.,-30,-30
-811*c + 39452 = 4579 for c.,Solve -811*c + 39452 = 4579 for c.,43,43
79*s = 37*s - 38*s - 3249 + 849 for s.,Solve 79*s = 37*s - 38*s - 3249 + 849 for s.,-30,-30
-5946 - 4019 = -959*m - 1966 + 632 for m.,Solve -5946 - 4019 = -959*m - 1966 + 632 for m.,9,9
-1781*p + 16631 = 761*p + 1379 for p.,Solve -1781*p + 16631 = 761*p + 1379 for p.,6,6
183*g = -98*g + 73*g + 4368 for g.,Solve 183*g = -98*g + 73*g + 4368 for g.,21,21
77 + 351 + 78 = -40*r - 1214 for r.,Solve 77 + 351 + 78 = -40*r - 1214 for r.,-43,-43
222*d - 191*d + 646 = 26 for d.,Solve 222*d - 191*d + 646 = 26 for d.,-20,-20
18593 + 5247 = -2384*u for u.,Solve 18593 + 5247 = -2384*u for u.,-10,-10
19968*g - 20055*g = 4176 for g.,Solve 19968*g - 20055*g = 4176 for g.,-48,-48
-2736*b - 1169*b + 74195 = 0 for b.,Solve -2736*b - 1169*b + 74195 = 0 for b.,19,19
-2853 = 643*z - 2853 for z.,Solve -2853 = 643*z - 2853 for z.,0,0
-980*x - 497*x - 28188 - 35217 = -68*x for x.,Solve -980*x - 497*x - 28188 - 35217 = -68*x for x.,-45,-45
30 + 247 + 16 = 11*k - 15 for k.,Solve 30 + 247 + 16 = 11*k - 15 for k.,28,28
-22*k = 166 + 57 - 25 for k.,Solve -22*k = 166 + 57 - 25 for k.,-9,-9
-290*k = 3787 + 3743 - 2310 for k.,Solve -290*k = 3787 + 3743 - 2310 for k.,-18,-18
-203*k = -248*k + 1305 for k.,Solve -203*k = -248*k + 1305 for k.,29,29
-71*a - 2546 = -108*a - 97*a for a.,Solve -71*a - 2546 = -108*a - 97*a for a.,19,19
5579*h = 5163*h - 4160 for h.,Solve 5579*h = 5163*h - 4160 for h.,-10,-10
40*s + 26*s - 15369 = 48*s + 345*s for s.,Solve 40*s + 26*s - 15369 = 48*s + 345*s for s.,-47,-47
-111*j - 1891 = 57*j + 1784 + 2205 for j.,Solve -111*j - 1891 = 57*j + 1784 + 2205 for j.,-35,-35
877*d + 1260 = 933*d + 23 - 51 for d.,Solve 877*d + 1260 = 933*d + 23 - 51 for d.,23,23
6435 = -9567*c + 9372*c for c.,Solve 6435 = -9567*c + 9372*c for c.,-33,-33
-162*q + 1357 + 122 + 223 = -80 for q.,Solve -162*q + 1357 + 122 + 223 = -80 for q.,11,11
0 = 1417*r + 15842 - 23860 + 46400 + 23966 for r.,Solve 0 = 1417*r + 15842 - 23860 + 46400 + 23966 for r.,-44,-44
-132*k = 27*k + 28*k + 5610 for k.,Solve -132*k = 27*k + 28*k + 5610 for k.,-30,-30
583*c - 7622 = 9285 for c.,Solve 583*c - 7622 = 9285 for c.,29,29
-157 = 118*g - 144*g + 181 for g.,Solve -157 = 118*g - 144*g + 181 for g.,13,13
514*g = 220*g + 246*g - 432 for g.,Solve 514*g = 220*g + 246*g - 432 for g.,-9,-9
2810*k = 1105*k - 61380 for k.,Solve 2810*k = 1105*k - 61380 for k.,-36,-36
211*l + 42809 = 3504*l for l.,Solve 211*l + 42809 = 3504*l for l.,13,13
94*h = 446*h + 95*h - 12930 - 4503 for h.,Solve 94*h = 446*h + 95*h - 12930 - 4503 for h.,39,39
2089*h + 450 - 1255 = 2124*h for h.,Solve 2089*h + 450 - 1255 = 2124*h for h.,-23,-23
-312330*h - 1022 = -312257*h for h.,Solve -312330*h - 1022 = -312257*h for h.,-14,-14
476 = -9*s - 35*s + 1699 - 3335 for s.,Solve 476 = -9*s - 35*s + 1699 - 3335 for s.,-48,-48
1103*k - 1221*k + 4956 = 0 for k.,Solve 1103*k - 1221*k + 4956 = 0 for k.,42,42
-639*i = -932*i - 4688 for i.,Solve -639*i = -932*i - 4688 for i.,-16,-16
-1204 = 957*i - 22258 for i.,Solve -1204 = 957*i - 22258 for i.,22,22
-111*f = 2*f + 97*f + 5*f - 10320 for f.,Solve -111*f = 2*f + 97*f + 5*f - 10320 for f.,48,48
537*b - 14549 = -42*b + 2292 + 2845 for b.,Solve 537*b - 14549 = -42*b + 2292 + 2845 for b.,34,34
4426 = 105*n + 10*n + 976 for n.,Solve 4426 = 105*n + 10*n + 976 for n.,30,30
-8633*z + 8387*z = 3444 for z.,Solve -8633*z + 8387*z = 3444 for z.,-14,-14
0 = 870*k + 810*k - 25200 for k.,Solve 0 = 870*k + 810*k - 25200 for k.,15,15
-1270*d + 357 = -1219*d for d.,Solve -1270*d + 357 = -1219*d for d.,7,7
-252 = 293*p + 130 - 406 + 5298 for p.,Solve -252 = 293*p + 130 - 406 + 5298 for p.,-18,-18
809*f - 9177 = 1292*f for f.,Solve 809*f - 9177 = 1292*f for f.,-19,-19
507 + 992 = 61*h - 514 for h.,Solve 507 + 992 = 61*h - 514 for h.,33,33
-138705*y = -138748*y + 774 for y.,Solve -138705*y = -138748*y + 774 for y.,18,18
-436916 = 118*f - 435028 for f.,Solve -436916 = 118*f - 435028 for f.,-16,-16
-543*c - 13232 = -1370*c for c.,Solve -543*c - 13232 = -1370*c for c.,16,16
-1616*c - 24661 - 24672 = -5788 - 9609 for c.,Solve -1616*c - 24661 - 24672 = -5788 - 9609 for c.,-21,-21
5*z = z + 490 - 358 for z.,Solve 5*z = z + 490 - 358 for z.,33,33
-715*v + 3552*v - 64055 - 26729 = 0 for v.,Solve -715*v + 3552*v - 64055 - 26729 = 0 for v.,32,32
2184*u - 167*u + 39779 = 247*u - 36331 for u.,Solve 2184*u - 167*u + 39779 = 247*u - 36331 for u.,-43,-43
1270*r - 414 = -1281*r + 2597*r for r.,Solve 1270*r - 414 = -1281*r + 2597*r for r.,-9,-9
-144*c - 627*c = 343*c - 17824 for c.,Solve -144*c - 627*c = 343*c - 17824 for c.,16,16
-22*q - q = -14375 + 13455 for q.,Solve -22*q - q = -14375 + 13455 for q.,40,40
-154*t + 2238 + 1416 + 42 = 0 for t.,Solve -154*t + 2238 + 1416 + 42 = 0 for t.,24,24
103*a + 413 = 21*a + 96 - 831 for a.,Solve 103*a + 413 = 21*a + 96 - 831 for a.,-14,-14
-119*b - 322 - 862 = 29*b for b.,Solve -119*b - 322 - 862 = 29*b for b.,-8,-8
0 = -238*k - 338*k - 8680 + 22504 for k.,Solve 0 = -238*k - 338*k - 8680 + 22504 for k.,24,24
-57*j + 52 + 175 + 116 = 1 for j.,Solve -57*j + 52 + 175 + 116 = 1 for j.,6,6
-1295*l + 7221 = 22169 + 36852 for l.,Solve -1295*l + 7221 = 22169 + 36852 for l.,-40,-40
6600 = 88*d - 238*d for d.,Solve 6600 = 88*d - 238*d for d.,-44,-44
-360*q - 5457 = -12657 for q.,Solve -360*q - 5457 = -12657 for q.,20,20
-690*i - 2916 + 226 = -24080 for i.,Solve -690*i - 2916 + 226 = -24080 for i.,31,31
37*w + 64*w = -36*w - w - 3312 for w.,Solve 37*w + 64*w = -36*w - w - 3312 for w.,-24,-24
200*o = -1051 + 761 - 1910 for o.,Solve 200*o = -1051 + 761 - 1910 for o.,-11,-11
617*t - 4816 = 5971 + 3201 + 1437 for t.,Solve 617*t - 4816 = 5971 + 3201 + 1437 for t.,25,25
-1870*j + 28077 = -1297*j for j.,Solve -1870*j + 28077 = -1297*j for j.,49,49
-32302*h = -16133*h - 16154*h - 165 for h.,Solve -32302*h = -16133*h - 16154*h - 165 for h.,11,11
18*j - 1310335 = -1311037 for j.,Solve 18*j - 1310335 = -1311037 for j.,-39,-39
-1242 - 177 = 21*v + 12*v for v.,Solve -1242 - 177 = 21*v + 12*v for v.,-43,-43
-125 - 2 = 610*m - 868 - 479 for m.,Solve -125 - 2 = 610*m - 868 - 479 for m.,2,2
0 = -581*q + 1008 + 18746 for q.,Solve 0 = -581*q + 1008 + 18746 for q.,34,34
-9786 = -278*y + 8819 - 5817 for y.,Solve -9786 = -278*y + 8819 - 5817 for y.,46,46
259*m - 96*m = -185*m - 4176 for m.,Solve 259*m - 96*m = -185*m - 4176 for m.,-12,-12
-46*m - 626 = 4*m - 1376 for m.,Solve -46*m - 626 = 4*m - 1376 for m.,15,15
103*g + 3689 = 2762 for g.,Solve 103*g + 3689 = 2762 for g.,-9,-9
30*a - 2744 = 24*a - 28*a - 22*a for a.,Solve 30*a - 2744 = 24*a - 28*a - 22*a for a.,49,49
1776*q - 1495*q + 13488 = 0 for q.,Solve 1776*q - 1495*q + 13488 = 0 for q.,-48,-48
1329*t - 317 + 73 = 1268*t for t.,Solve 1329*t - 317 + 73 = 1268*t for t.,4,4
-27783 = -1998*q + 26163 for q.,Solve -27783 = -1998*q + 26163 for q.,27,27
-1323*z = -1254*z - 3450 for z.,Solve -1323*z = -1254*z - 3450 for z.,50,50
196*u + 1601*u + 275*u - 37296 = 0 for u.,Solve 196*u + 1601*u + 275*u - 37296 = 0 for u.,18,18
284*h - 2311 = -4867 for h.,Solve 284*h - 2311 = -4867 for h.,-9,-9
9*d - 4706 = 288*d + 83*d for d.,Solve 9*d - 4706 = 288*d + 83*d for d.,-13,-13
-2140 = -172*y - 6440 for y.,Solve -2140 = -172*y - 6440 for y.,-25,-25
0 = -116*a - 483*a - 9584 for a.,Solve 0 = -116*a - 483*a - 9584 for a.,-16,-16
0 = 468623*m - 468689*m + 2508 for m.,Solve 0 = 468623*m - 468689*m + 2508 for m.,38,38
-490 = -13627*i + 13662*i for i.,Solve -490 = -13627*i + 13662*i for i.,-14,-14
21*r = -80*r + 68*r - 37*r + 1120 for r.,Solve 21*r = -80*r + 68*r - 37*r + 1120 for r.,16,16
41*q + 43*q - 3116 = 8*q for q.,Solve 41*q + 43*q - 3116 = 8*q for q.,41,41
-168*j - 203*j + 457*j + 104 = 18 for j.,Solve -168*j - 203*j + 457*j + 104 = 18 for j.,-1,-1
0 = -642*x + 3931 + 7384 + 14365 for x.,Solve 0 = -642*x + 3931 + 7384 + 14365 for x.,40,40
-44*q - 74 = -7*q - 513 - 301 for q.,Solve -44*q - 74 = -7*q - 513 - 301 for q.,20,20
0 = 357*u - 5618 - 979 - 543 for u.,Solve 0 = 357*u - 5618 - 979 - 543 for u.,20,20
-90*b - 53*b - 166*b + 15463 = 20*b for b.,Solve -90*b - 53*b - 166*b + 15463 = 20*b for b.,47,47
1493*t - 780*t - 748*t - 315 = 0 for t.,Solve 1493*t - 780*t - 748*t - 315 = 0 for t.,-9,-9
-117*z - 11214 = -4*z + 66*z + 88*z for z.,Solve -117*z - 11214 = -4*z + 66*z + 88*z for z.,-42,-42
22*q - 6654 = -417*q + 848*q - 26695 for q.,Solve 22*q - 6654 = -417*q + 848*q - 26695 for q.,49,49
-249*h - 63*h + 2211 - 1275 = 0 for h.,Solve -249*h - 63*h + 2211 - 1275 = 0 for h.,3,3
67*s - 862 - 508 = -1380 - 2134 for s.,Solve 67*s - 862 - 508 = -1380 - 2134 for s.,-32,-32
-174*m = -86*m - 93*m + 250 for m.,Solve -174*m = -86*m - 93*m + 250 for m.,50,50
383*o + 296*o - 3564 = 841*o for o.,Solve 383*o + 296*o - 3564 = 841*o for o.,-22,-22
-396548*i + 396518*i = -600 for i.,Solve -396548*i + 396518*i = -600 for i.,20,20
0 = 373278*s - 373349*s + 315 + 395 for s.,Solve 0 = 373278*s - 373349*s + 315 + 395 for s.,10,10
115*w = 2926 + 869 for w.,Solve 115*w = 2926 + 869 for w.,33,33
2328 = 89*h + 179*h + 23*h for h.,Solve 2328 = 89*h + 179*h + 23*h for h.,8,8
-4441 - 6004 = 1375*s + 714*s for s.,Solve -4441 - 6004 = 1375*s + 714*s for s.,-5,-5
-358*r + 59943 = -1207*r - 688*r for r.,Solve -358*r + 59943 = -1207*r - 688*r for r.,-39,-39
1137*n - 14830 = -53488 for n.,Solve 1137*n - 14830 = -53488 for n.,-34,-34
-51*g - 503 - 28 - 133 = -103 for g.,Solve -51*g - 503 - 28 - 133 = -103 for g.,-11,-11
-6687 + 26044 = 2479*k - 690 - 14659 for k.,Solve -6687 + 26044 = 2479*k - 690 - 14659 for k.,14,14
-439*p - 16444 = 1202*p + 873*p + 56462 for p.,Solve -439*p - 16444 = 1202*p + 873*p + 56462 for p.,-29,-29
11393*f - 11971*f = 10404 for f.,Solve 11393*f - 11971*f = 10404 for f.,-18,-18
-243*x = -250 - 6669 - 3530 for x.,Solve -243*x = -250 - 6669 - 3530 for x.,43,43
